dévouer	CE2	VER
diable	CE1	NOM
dictée	CE1	NOM
dictionnaire	CM2	NOM
dieu	CE2	NOM
différent	CM1	ADJ
digne	CE2	ADJ
dimanche	CE1	NOM
diminuer	CM1	VER
dîner	CM1	NOM/VER
dire	CE1	VER/NOM
directement	CE2	ADV
directeur	CE1	NOM/ADJ
direction	CE2	NOM
diriger	CM1	VER
discuter	CM2	VER
disparition	CM2	NOM
dispenser	CM1	VER
disposer	CM1	VER
disposition	CM1	NOM
disputer	CM1	VER
distinction	CM1	NOM
distraction	CM1	NOM
distraire	CM1	VER
distrait	CM1	ADJ
distribuer	CM1	VER
distribution	CE2	NOM
divers	CM2	ADJ/DET
divin	CE2	ADJ/NOM
diviser	CE2	VER
division	CE1	NOM
dix	CE1	DET
dizaine	CM1	NOM/ADJ
docile	CM1	ADJ
docteur	CE2	NOM
doigt	CM1	NOM
domestique	CE2	NOM/ADJ
domicile	CE2	NOM
dominer	CM1	VER
dompteur	CM2	NOM
donc	CE1	CON
donner	CM1	VER
dont	CE2	PRO
dormir	CE1	VER
dos	CE2	NOM
double	CE1	NOM/ADJ
doubler	CM1	VER
doucement	CM1	ADV
douceur	CM1	NOM
douleur	CP	NOM
douloureux	CE2	ADJ
doute	CE2	NOM
douter	CM1	VER
doux	CE2	ADJ/ADV
douzaine	CM1	NOM
douze	CE2	DET
drap	CE2	NOM
drapeau	CE2	NOM
droit	CE2	NOM/ADJ
droite	CP	NOM
drôle	CM1	ADJ/NOM
du	Outil	DET/PRE
duc	CE1	NOM
duquel	CM2	PRO
dur	CM1	ADJ/NOM
durant	CM1	PRE
durée	CE2	NOM
durer	CM1	VER
duvet	CE2	NOM
eau	CE2	NOM
éblouir	CM1	VER
écarter	CM2	VER
échanger	CM1	VER
échantillon	CM2	NOM
échapper	CE2	VER
écharpe	CE1	NOM
échelle	CE2	NOM
éclair	CM1	NOM
éclaircir	CM2	VER
éclairer	CM2	VER
éclat	CE2	NOM
éclatant	CM2	ADJ
éclater	CM1	VER
éclore	CM1	VER
écluse	CE2	NOM
école	CP	NOM
écolier	CE2	NOM
économie	CM1	NOM
économiser	CM2	VER
écouler	CM1	VER
écouter	CE2	VER
écrier	CM1	VER
écrire	CE2	VER
écrit	CM1	NOM/ADJ
écriture	CP	NOM
écurie	CE1	NOM
édifier	CM2	VER
éducation	CM1	NOM
effacer	CM2	VER
effet	CM2	NOM
effort	CM1	NOM
également	CE2	ADV
égarer	CM1	VER
église	CP	NOM
élancer	CM2	VER
élargir	CM1	VER
électricité	CM1	NOM
électrique	CE2	ADJ
élégant	CM1	ADJ
éléphant	CM1	NOM
élève	CE1	NOM
élever	CM2	VER
elle	Outil	PRO
elles	Outil	PRO
embellir	CM2	VER
embrasser	CM2	VER
émerveiller	CM1	VER
émotion	CM2	NOM
émouvoir	CE2	VER
empereur	CM1	NOM
emplacement	CM2	NOM
emplir	CM1	VER
emporter	CM1	VER
en	Outil	PRO
encadrer	CM2	VER
enchanté	CM2	ADJ
encore	CE2	ADV
encourager	CM1	VER
encourir	CE2	VER
encre	CE1	NOM
encrier	CE2	NOM
endormir	CE1	VER
endroit	CM1	NOM
énergie	CE2	NOM
énergique	CM1	ADJ
enfance	CE2	NOM
enfant	CP	NOM
enfermer	CE2	VER
enfin	CE2	ADV
enfoncer	CM1	VER
enfouir	CM2	VER
enfuir	CM1	VER
engager	CE2	VER
engloutir	CM1	VER
enlever	CM1	VER
ennemi	CM2	NOM/ADJ
énorme	CE2	ADJ
énormément	CM1	ADV
enrichir	CM1	VER
enseignement	CM1	NOM
enseigner	CM1	VER
ensemble	CM1	NOM/ADV
ensuite	CE2	ADV
entendre	CE2	VER
enterrer	CM2	VER
entier	CE1	ADJ
entièrement	CM2	ADV
entonner	CM1	VER
entrain	CM2	NOM
entre	CE1	PRE
entrée	CE1	NOM
entreprendre	CE2	VER
entrer	CM2	VER
entretenir	CE1	VER
entrevoir	CE2	VER
enveloppe	CM2	NOM
envie	CE2	NOM
envier	CM1	VER
environ	CM1	ADV
envoler	CM1	VER
envoyer	CM2	VER
épais	CM1	ADJ
épanouir	CM1	VER
épargne	CE1	NOM
épaule	CE2	NOM
épauler	CM1	VER
épée	CM1	NOM
épine	CE1	NOM
époque	CE2	NOM
épouser	CM1	VER
épouvantable	CM2	ADJ
époux	CM1	NOM
épreuve	CE1	NOM
éprouver	CM1	VER
épuiser	CM1	VER
équilibre	CM1	NOM
équipage	CE2	NOM
équipe	CM1	NOM
erreur	CM2	NOM
escalader	CE2	VER
escalier	CE2	NOM
esclave	CE1	NOM
espace	CM1	NOM
espérance	CM2	NOM
espérer	CM2	VER
espoir	CE2	NOM
esprit	CE2	NOM
estime	CE2	NOM
estimer	CM1	VER
estomac	CM1	NOM
estrade	CE1	NOM
et	Outil	CON
étable	CE1	NOM
établir	CE1	VER
étage	CE2	NOM
étagère	CM1	NOM
étalage	CE1	NOM
étaler	CM1	VER
étang	CM2	NOM
état	CM1	NOM
été	CE1	NOM
étendre	CM1	VER
étendue	CE2	NOM
éternel	CE2	ADJ/NOM
éternité	CM1	NOM
étincelle	CM1	NOM
étirer	CM2	VER
étoffe	CE2	NOM
étoile	CE2	NOM
étonnement	CM2	NOM
étonner	CM1	VER
étourdi	CM1	ADJ
étrange	CE2	ADJ
étranger	CM1	NOM/ADJ
être	Outil	VER
être	CM1	NOM
étroit	CM1	ADJ
étude	CP	NOM
étudiant	CE2	NOM
étudier	CE2	VER
eux	CM1	PRO
évangile	CM2	NOM
évanouir	CE2	VER
éveiller	CM2	VER
éviter	CM1	VER
exactement	CM2	ADV
exactitude	CM2	NOM
exclamation	CM1	NOM
excuse	CM1	NOM
exemple	CM1	NOM
expédier	CM2	VER
expédition	CM1	NOM
expérience	CM2	NOM
expirer	CM1	VER
explication	CE2	NOM
expliquer	CM1	VER
exposer	CM2	VER
exposition	CM1	NOM
exprès	CM2	ADJ/ADV
exprimer	CM1	VER
extérieur	CM1	NOM/ADJ
extraire	CM2	VER
extrémité	CM2	NOM
fabrication	CM1	NOM
fabrique	CE1	NOM
fabriquer	CE2	VER
face	CM1	NOM
facile	CM1	ADJ
facilement	CM1	ADV
facilité	CM1	NOM
faciliter	CM1	VER
façon	CM1	NOM
facteur	CP	NOM
faible	CM1	ADJ/NOM
faiblesse	CM1	NOM
faim	CM1	NOM
faire	CE1	VER
fait	CM2	NOM
falloir	CM2	VER
fameux	CM1	ADJ
famille	CP	NOM
farce	CM1	NOM
farine	CE2	NOM
farouche	CE2	ADJ
fatal	CM1	ADJ
fatigue	CE2	NOM
fatiguer	CE2	VER
faucher	CM1	VER
faucheur	CE2	NOM
faute	CE1	NOM
fauteuil	CM2	NOM
fauve	CE1	NOM/ADJ
fauvette	CE2	NOM
faveur	CE2	NOM
favorable	CE2	ADJ
favoriser	CM1	VER
fée	CE1	NOM
femelle	CM1	NOM/ADJ
femme	CP	NOM
fendre	CE2	VER
fenêtre	CE2	NOM
fer	CE1	NOM
ferme	CE1	NOM/ADV/ADJ
fermer	CM1	VER
fermier	CP	NOM/ADJ
féroce	CM2	ADJ
ferrer	CM1	VER
ferveur	CM1	NOM
fête	CP	NOM
fêter	CM1	VER
feu	CP	NOM/ADJ
feuillage	CM1	NOM
feuille	CE1	NOM
février	CM1	NOM
ficelle	CM1	NOM
fidèle	CE2	NOM/ADJ
fier	CE2	ADJ
fier (se)	CM1	VER
