lugubre;CE2;ADJ
lugubres;CE2;ADJ
luisant;CM1;ADJ
luisante;CM1;ADJ
luisantes;CM1;ADJ
luisants;CM1;ADJ
lumineuse;CM2;ADJ
lumineuses;CM2;ADJ
lumineux;CM2;ADJ
magique;CE1;ADJ
magiques;CE1;ADJ
magnifique;CE1;ADJ
magnifiques;CE1;ADJ
marine;CM1;ADJ
marines;CM1;ADJ
massive;CM1;ADJ
massives;CM1;ADJ
matériele;CM2;ADJ
matérieles;CM2;ADJ
maternel;CM1;ADJ
maternelle;CM1;ADJ
maternelles;CM1;ADJ
maternels;CM1;ADJ
matinal;CE2;ADJ
matinale;CE2;ADJ
matinales;CE2;ADJ
matinaux;CE2;ADJ
mauvais;CE2;ADJ
mauvaise;CE2;ADJ
mauvaises;CE2;ADJ
mauve;CE1;ADJ
mauves;CE1;ADJ
mécontent;CM1;ADJ
mécontente;CM1;ADJ
mécontentes;CM1;ADJ
mécontents;CM1;ADJ
mélancolique;CM1;ADJ
mélancoliques;CM1;ADJ
mélodieuse;CM1;ADJ
mélodieuses;CM1;ADJ
mélodieux;CM1;ADJ
ménager;CM1;ADJ
ménagère;CE2;ADJ
ménagères;CE2;ADJ
ménagers;CE2;ADJ
ménagers;CM1;ADJ
menue;CE1;ADJ
menues;CE1;ADJ
migratrice;CE2;ADJ
migratrices;CE2;ADJ
mince;CM1;ADJ
minces;CM1;ADJ
mineure;CE1;ADJ
mineures;CE1;ADJ
minuscule;CE2;ADJ
minuscules;CE2;ADJ
moderne;CE1;ADJ
modernes;CE1;ADJ
modeste;CE2;ADJ
modestes;CE2;ADJ
moindre;CE2;ADJ
moindres;CE2;ADJ
monotone;CM1;ADJ
monotones;CM1;ADJ
moqueur;CM1;ADJ
moqueurs;CM1;ADJ
moqueuse;CM1;ADJ
moqueuses;CM1;ADJ
morne;CP;ADJ
mornes;CP;ADJ
multicolore;CE2;ADJ
multicolores;CE2;ADJ
mystérieuse;CM2;ADJ
mystérieuses;CM2;ADJ
mystérieux;CM2;ADJ
natal;CE2;ADJ
natale;CE2;ADJ
natales;CE2;ADJ
natals;CE2;ADJ
nataux;CE2;ADJ
neufs;CE2;ADJ
neuve;CE2;ADJ
neuves;CE2;ADJ
nombreuse;CM1;ADJ
nombreuses;CM1;ADJ
nombreux;CM1;ADJ
normal;CE2;ADJ
normale;CE2;ADJ
normales;CE2;ADJ
normaux;CE2;ADJ
obéissant;CM2;ADJ
obéissante;CM2;ADJ
obéissantes;CM2;ADJ
obéissants;CM2;ADJ
odorant;CM2;ADJ
odorante;CM2;ADJ
odorantes;CM2;ADJ
odorants;CM2;ADJ
paisible;CM1;ADJ
paisibles;CM1;ADJ
pâle;CE2;ADJ
pâles;CE2;ADJ
parfait;CE1;ADJ
parfaite;CE1;ADJ
parfaites;CE1;ADJ
parfaits;CE1;ADJ
particulière;CM1;ADJ
particulières;CM1;ADJ
pénible;CE1;ADJ
pénibles;CE1;ADJ
personnelle;CM1;ADJ
personnelles;CM1;ADJ
pieuse;CM1;ADJ
pieuses;CM1;ADJ
plaintif;CM2;ADJ
plaintifs;CM2;ADJ
plaintive;CM2;ADJ
plaintives;CM2;ADJ
plein;CM2;ADJ
pleine;CM2;ADJ
pleines;CM2;ADJ
pleins;CM2;ADJ
pointu;CE2;ADJ
pointue;CE2;ADJ
pointues;CE2;ADJ
pointus;CE2;ADJ
poli;CE2;ADJ
polie;CE2;ADJ
polies;CE2;ADJ
polis;CE2;ADJ
postal;CE2;ADJ
postale;CE2;ADJ
postales;CE2;ADJ
postaux;CE2;ADJ
précieuse;CM2;ADJ
précieuses;CM2;ADJ
précieux;CM2;ADJ
prêt;CM2;ADJ
prête;CM2;ADJ
prêtes;CM2;ADJ
prêts;CM2;ADJ
primaire;CM1;ADJ
primaires;CM1;ADJ
printanier;CM2;ADJ
printanière;CM2;ADJ
printanières;CM2;ADJ
printaniers;CM2;ADJ
prodigieuse;CM1;ADJ
prodigieuses;CM1;ADJ
prodigieux;CM1;ADJ
profond;CM2;ADJ
profonde;CM2;ADJ
profondes;CM2;ADJ
profonds;CM2;ADJ
propre;CP;ADJ
propres;CP;ADJ
prudent;CM1;ADJ
prudente;CM1;ADJ
prudentes;CM1;ADJ
prudents;CM1;ADJ
puissant;CM1;ADJ
puissante;CM1;ADJ
puissantes;CM1;ADJ
puissants;CM1;ADJ
radieuse;CM1;ADJ
radieuses;CM1;ADJ
radieux;CM1;ADJ
raide;CM1;ADJ
raides;CM1;ADJ
rare;CE1;ADJ
rares;CE1;ADJ
ravissant;CM2;ADJ
ravissante;CM2;ADJ
ravissantes;CM2;ADJ
ravissants;CM2;ADJ
redoutable;CE1;ADJ
redoutables;CE1;ADJ
régulier;CM1;ADJ
régulière;CM1;ADJ
régulières;CM1;ADJ
réguliers;CM1;ADJ
relatif;CE2;ADJ
relatifs;CE2;ADJ
relative;CE2;ADJ
relatives;CE2;ADJ
remarquable;CM2;ADJ
remarquables;CM2;ADJ
respectueuse;CE2;ADJ
respectueuses;CE2;ADJ
respectueux;CE2;ADJ
riant;CM1;ADJ
riante;CM1;ADJ
riantes;CM1;ADJ
riants;CM1;ADJ
rigoureuse;CM1;ADJ
rigoureuses;CM1;ADJ
rigoureux;CM1;ADJ
robuste;CE1;ADJ
robustes;CE1;ADJ
rouges;CP;ADJ
royal;CM1;ADJ
royale;CM1;ADJ
royales;CM1;ADJ
royaux;CM1;ADJ
rudes;CP;ADJ
rusé;CM2;ADJ
rusée;CM2;ADJ
rusées;CM2;ADJ
rusés;CM2;ADJ
sacrée;CE2;ADJ
sacrées;CE2;ADJ
sale;CM1;ADJ
sales;CM1;ADJ
satisfait;CM1;ADJ
satisfaite;CM1;ADJ
satisfaites;CM1;ADJ
satisfaits;CM1;ADJ
savoureuse;CM2;ADJ
savoureuses;CM2;ADJ
savoureux;CM2;ADJ
sèche;CE1;ADJ
sèches;CE1;ADJ
secs;CE1;ADJ
sérieuse;CM1;ADJ
sérieuses;CM1;ADJ
sérieux;CM1;ADJ
serviable;CE2;ADJ
serviables;CE2;ADJ
seul;CE2;ADJ
seule;CE2;ADJ
seules;CE2;ADJ
seuls;CE2;ADJ
silencieuse;CM2;ADJ
silencieuses;CM2;ADJ
silencieux;CM2;ADJ
simple;CE2;ADJ
simples;CE2;ADJ
sincère;CM2;ADJ
sincères;CM2;ADJ
singulière;CE1;ADJ
singulières;CE1;ADJ
sobre;CE2;ADJ
sobres;CE2;ADJ
sombre;CE1;ADJ
sombres;CE1;ADJ
sonore;CE2;ADJ
sonores;CE2;ADJ
souple;CM1;ADJ
souples;CM1;ADJ
souriant;CM1;ADJ
souriante;CM1;ADJ
souriantes;CM1;ADJ
souriants;CM1;ADJ
spacieuse;CM2;ADJ
spacieuses;CM2;ADJ
spacieux;CM2;ADJ
studieuse;CM1;ADJ
studieuses;CM1;ADJ
studieux;CM1;ADJ
suave;CE2;ADJ
suaves;CE2;ADJ
superbe;CE1;ADJ
superbes;CE1;ADJ
suprême;CM1;ADJ
suprêmes;CM1;ADJ
tendre;CE2;ADJ
tendres;CE2;ADJ
terrestre;CM1;ADJ
terrestres;CM1;ADJ
terrible;CE2;ADJ
terribles;CE2;ADJ
tiède;CM1;ADJ
tièdes;CM1;ADJ
tranquille;CM1;ADJ
tranquilles;CM1;ADJ
tricolore;CE2;ADJ
tricolores;CE2;ADJ
triste;CP;ADJ
tristes;CP;ADJ
unique;CE2;ADJ
uniques;CE2;ADJ
urgent;CM1;ADJ
urgente;CM1;ADJ
urgentes;CM1;ADJ
urgents;CM1;ADJ
utile;CE2;ADJ
utiles;CE2;ADJ
vaillant;CM2;ADJ
vaillante;CM2;ADJ
vaillantes;CM2;ADJ
vaillants;CM2;ADJ
vaste;CE1;ADJ
vastes;CE1;ADJ
végétale;CM1;ADJ
végétales;CM1;ADJ
veloutée;CM1;ADJ
veloutées;CM1;ADJ
véritable;CE1;ADJ
véritables;CE1;ADJ
vert;CE2;ADJ
verte;CE2;ADJ
vertes;CE2;ADJ
verts;CE2;ADJ
vif;CE1;ADJ
vifs;CE1;ADJ
vigoureuse;CM1;ADJ
vigoureuses;CM1;ADJ
vigoureux;CM1;ADJ
violent;CM1;ADJ
violente;CM1;ADJ
violentes;CM1;ADJ
violents;CM1;ADJ
violet;CE2;ADJ
violets;CE2;ADJ
violette;CE2;ADJ
violette;CM1;ADJ
violettes;CE2;ADJ
violettes;CM1;ADJ
visible;CE1;ADJ
visibles;CE1;ADJ
vive;CE1;ADJ
vives;CE1;ADJ
bref;CE2;ADJ/ADV
cher;CE2;ADJ/ADV
clair;CM1;ADJ/ADV
douce;CE2;ADJ/ADV
douces;CE2;ADJ/ADV
doux;CE2;ADJ/ADV
exprès;CM2;ADJ/ADV
